"row","locality_revgeo","administrative_area_level_1_revgeo","administrative_area_level_2_revgeo","country_revgeo"
3892,"Shumen","Shumen",NA,"Bulgaria"
3893,NA,"Silistra",NA,"Bulgaria"
3894,"Sliven","Sliven",NA,"Bulgaria"
3895,"Smolyan","Smolyan",NA,"Bulgaria"
3896,"Sofia","Sofia City Province",NA,"Bulgaria"
3897,"Stara Zagora","Stara Zagora",NA,"Bulgaria"
3898,"Targovishte","Targovishte",NA,"Bulgaria"
3899,"Varna","Varna",NA,"Bulgaria"
3900,"Veliko Tarnovo","Veliko Tarnovo",NA,"Bulgaria"
3901,"Vidin","Vidin",NA,"Bulgaria"
3902,"Vratsa","Vraca",NA,"Bulgaria"
3903,"Yambol","Yambol",NA,"Bulgaria"
3904,"Mala Pisanica","Bjelovar-Bilogora County","Opcina Veliki Grdevac","Croatia"
3905,"Mala Pisanica","Bjelovar-Bilogora County","Opcina Veliki Grdevac","Croatia"
3906,"Mala Pisanica","Bjelovar-Bilogora County","Opcina Veliki Grdevac","Croatia"
3907,"Mala Pisanica","Bjelovar-Bilogora County","Opcina Veliki Grdevac","Croatia"
3908,"Mala Pisanica","Bjelovar-Bilogora County","Opcina Veliki Grdevac","Croatia"
3909,"Mašic","Brodsko-posavska županija","Opcina Dragalic","Croatia"
3910,"Brod Moravice","Primorsko-goranska županija","Opcina Brod Moravice","Croatia"
3911,"Mašic","Brodsko-posavska županija","Opcina Dragalic","Croatia"
3912,"Mašic","Brodsko-posavska županija","Opcina Dragalic","Croatia"
3913,"Zagreb",NA,NA,"Croatia"
3914,"Desne","Dubrovnik-Neretva County","Opcina Kula Norinska","Croatia"
3915,"Dubrovnik","Dubrovnik-Neretva County","Opcina Dubrovnik","Croatia"
3916,"Desne","Dubrovnik-Neretva County","Opcina Kula Norinska","Croatia"
3917,"Desne","Dubrovnik-Neretva County","Opcina Kula Norinska","Croatia"
3918,"Desne","Dubrovnik-Neretva County","Opcina Kula Norinska","Croatia"
3919,"Desne","Dubrovnik-Neretva County","Opcina Kula Norinska","Croatia"
3920,"Desne","Dubrovnik-Neretva County","Opcina Kula Norinska","Croatia"
3921,"Dubrovnik","Dubrovnik-Neretva County","Opcina Dubrovnik","Croatia"
3922,"Mužini","Istarska županija","Opcina Žminj","Croatia"
3923,"Mužini","Istarska županija","Opcina Žminj","Croatia"
3924,"Rebrovici","Karlovac County","Opcina Tounj","Croatia"
3925,"Koprivnica","Koprivnicko-križevacka županija","Opcina Koprivnica","Croatia"
3926,"Koprivnica","Koprivnicko-križevacka županija","Opcina Koprivnica","Croatia"
3927,"Koprivnica","Koprivnicko-križevacka županija","Opcina Koprivnica","Croatia"
3928,"Koprivnica","Koprivnicko-križevacka županija","Opcina Koprivnica","Croatia"
3929,"Koprivnica","Koprivnicko-križevacka županija","Opcina Koprivnica","Croatia"
3930,"Koprivnica","Koprivnicko-križevacka županija","Opcina Koprivnica","Croatia"
3931,"Završje Zacretsko","Krapinsko-zagorska županija","Opcina Sveti Križ Zacretje","Croatia"
3932,"Završje Zacretsko","Krapinsko-zagorska županija","Opcina Sveti Križ Zacretje","Croatia"
3933,"Završje Zacretsko","Krapinsko-zagorska županija","Opcina Sveti Križ Zacretje","Croatia"
3934,"Završje Zacretsko","Krapinsko-zagorska županija","Opcina Sveti Križ Zacretje","Croatia"
3935,"Završje Zacretsko","Krapinsko-zagorska županija","Opcina Sveti Križ Zacretje","Croatia"
3936,"Široka Kula","Lika-Senj County","Opcina Gospic","Croatia"
3937,"Široka Kula","Lika-Senj County","Opcina Gospic","Croatia"
3938,"Široka Kula","Lika-Senj County","Opcina Gospic","Croatia"
3939,"Široka Kula","Lika-Senj County","Opcina Gospic","Croatia"
3940,"Strahoninec","Medimurska županija","Opcina Strahoninec","Croatia"
3941,"Strahoninec","Medimurska županija","Opcina Strahoninec","Croatia"
3942,"Poljavnice","Republika Srpska",NA,"Bosnia and Herzegovina"
3943,"Osijek","Osijek-Baranja County","Osijek Oblast","Croatia"
3944,"Habjanovci","Osijek-Baranja County","Opcina Bizovac","Croatia"
3945,"Habjanovci","Osijek-Baranja County","Opcina Bizovac","Croatia"
3946,"Habjanovci","Osijek-Baranja County","Opcina Bizovac","Croatia"
3947,"Habjanovci","Osijek-Baranja County","Opcina Bizovac","Croatia"
3948,"Lakušija","Požeško-slavonska županija","Opcina Pleternica","Croatia"
3949,"Lakušija","Požeško-slavonska županija","Opcina Pleternica","Croatia"
3950,"Lakušija","Požeško-slavonska županija","Opcina Pleternica","Croatia"
3951,"Lakušija","Požeško-slavonska županija","Opcina Pleternica","Croatia"
3952,"Lakušija","Požeško-slavonska županija","Opcina Pleternica","Croatia"
3953,"Lakušija","Požeško-slavonska županija","Opcina Pleternica","Croatia"
3954,"Lakušija","Požeško-slavonska županija","Opcina Pleternica","Croatia"
3955,"Sunger","Primorje-Gorski Kotar County","Opcina Mrkopalj","Croatia"
3956,"Sunger","Primorje-Gorski Kotar County","Opcina Mrkopalj","Croatia"
3957,"Sunger","Primorje-Gorski Kotar County","Opcina Mrkopalj","Croatia"
3958,"Vrata, Primorje-Gorski Kotar County","Primorje-Gorski Kotar County","Opcina Fužine","Croatia"
3959,"Sunger","Primorje-Gorski Kotar County","Opcina Mrkopalj","Croatia"
3960,"Pula","Istarska županija","Opcina Pula","Croatia"
3961,"Rijeka","Primorje-Gorski Kotar County","Opcina Rijeka","Croatia"
3962,"Rijeka","Primorje-Gorski Kotar County","Opcina Rijeka","Croatia"
3963,"Razvode","Šibenik-Knin County","Promina","Croatia"
3964,"Razvode","Šibenik-Knin County","Promina","Croatia"
3965,"Razvode","Šibenik-Knin County","Promina","Croatia"
3966,"Razvode","Šibenik-Knin County","Promina","Croatia"
3967,"Razvode","Šibenik-Knin County","Promina","Croatia"
3968,"Greda Sunjska","Sisacko-moslavacka županija","Opcina Sunja","Croatia"
3969,"Greda Sunjska","Sisacko-moslavacka županija","Opcina Sunja","Croatia"
3970,"Greda Sunjska","Sisacko-moslavacka županija","Opcina Sunja","Croatia"
3971,"Greda Sunjska","Sisacko-moslavacka županija","Opcina Sunja","Croatia"
3972,"Greda Sunjska","Sisacko-moslavacka županija","Opcina Sunja","Croatia"
3973,"Split","Splitsko-dalmatinska županija","Opcina Split","Croatia"
3974,"Nova Sela, Omiš","Split-Dalmatia County","Opcina Omiš","Croatia"
3975,"Nova Sela, Omiš","Split-Dalmatia County","Opcina Omiš","Croatia"
3976,"Nova Sela, Omiš","Split-Dalmatia County","Opcina Omiš","Croatia"
3977,"Nova Sela, Omiš","Split-Dalmatia County","Opcina Omiš","Croatia"
3978,"Nova Sela, Omiš","Split-Dalmatia County","Opcina Omiš","Croatia"
3979,"Nova Sela, Omiš","Split-Dalmatia County","Opcina Omiš","Croatia"
3980,"Mala Pisanica","Bjelovar-Bilogora County","Opcina Veliki Grdevac","Croatia"
3981,"Mašic","Brodsko-posavska županija","Opcina Dragalic","Croatia"
3982,"Zagreb",NA,NA,"Croatia"
3983,"Zagreb",NA,NA,"Croatia"
3984,"Zagreb",NA,NA,"Croatia"
3985,"Zagreb",NA,NA,"Croatia"
3986,"Zagreb",NA,NA,"Croatia"
3987,"Zagreb",NA,NA,"Croatia"
3988,"Završje Zacretsko","Krapinsko-zagorska županija","Opcina Sveti Križ Zacretje","Croatia"
3989,"Lakušija","Požeško-slavonska županija","Opcina Pleternica","Croatia"
3990,"Greda Sunjska","Sisacko-moslavacka županija","Opcina Sunja","Croatia"
3991,"Martinska Ves","Zagreb County","Opcina Vrbovec","Croatia"
3992,"Varaždin","Varaždin County","Opcina Varaždin","Croatia"
3993,"Seketin","Varaždin County","Opcina Sveti Ilija","Croatia"
3994,"Seketin","Varaždin County","Opcina Sveti Ilija","Croatia"
3995,"Miljevci","Virovitica-Podravina County","Opcina Nova Bukovica","Croatia"
3996,"Miljevci","Virovitica-Podravina County","Opcina Nova Bukovica","Croatia"
3997,"Miljevci","Virovitica-Podravina County","Opcina Nova Bukovica","Croatia"
3998,"Privlaka","Zadar County","Opcina Privlaka","Croatia"
3999,NA,"Zadarska županija","Opcina Obrovac","Croatia"
4000,"Završje Zacretsko","Krapinsko-zagorska županija","Opcina Sveti Križ Zacretje","Croatia"
4001,"Zagreb",NA,NA,"Croatia"
4002,"Martinska Ves","Zagreb County","Opcina Vrbovec","Croatia"
4003,"Larnaca","Larnaca",NA,"Cyprus"
4004,"Agros","Limassol",NA,"Cyprus"
4005,"Blansko","South Moravian Region","Blansko District","Czechia"
4006,"Breclav","South Moravian Region","Breclav District","Czechia"
4007,NA,"South Moravian Region","Brno-City District","Czechia"
4008,"Kurdejov","South Moravian Region","Breclav District","Czechia"
4009,"Karlovy Vary","Karlovy Vary Region","Karlovy Vary District","Czechia"
4010,"Cáslavice","Vysocina Region","Trebíc District","Czechia"
4011,"Úžice","Central Bohemian Region","Kutná Hora District","Czechia"
4012,"Úžice","Central Bohemian Region","Kutná Hora District","Czechia"
4013,"Úžice","Central Bohemian Region","Kutná Hora District","Czechia"
4014,"Úžice","Central Bohemian Region","Kutná Hora District","Czechia"
4015,"Cíhošt","Vysocina Region","Havlíckuv Brod District","Czechia"
4016,NA,"Prague","Hlavní mesto Praha","Czechia"
4017,"Cernošice","Central Bohemian Region","Prague-West District","Czechia"
4018,"Ceský Brod","Central Bohemian Region","Kolín District","Czechia"
4019,"Cheb","Karlovy Vary Region","Cheb District","Czechia"
4020,"Chomutov","Ústí nad Labem Region","Chomutov District","Czechia"
4021,"Chýne","Central Bohemian Region","Prague-West District","Czechia"
4022,"Domazlice","Plzen Region","Domažlice District","Czechia"
4023,"Držovice","Olomouc Region","Prostejov District","Czechia"
4024,"Holice","Pardubice Region","Pardubice District","Czechia"
4025,"Prague","Prague","Hlavní mesto Praha","Czechia"
4026,NA,"Prague","Hlavní mesto Praha","Czechia"
4027,NA,"Prague","Hlavní mesto Praha","Czechia"
4028,"Hostivice","Central Bohemian Region","Prague-West District","Czechia"
4029,"Velichovky","Hradec Králové Region","Náchod District","Czechia"
4030,"Hradec Kralove","Hradec Králové Region","Hradec Králové District","Czechia"
4031,"Velichovky","Hradec Králové Region","Náchod District","Czechia"
4032,"Velichovky","Hradec Králové Region","Náchod District","Czechia"
4033,"Hranice","Olomouc Region","Prerov District","Czechia"
4034,"Hrušovany nad Jevišovkou","South Moravian Region","Znojmo District","Czechia"
4035,"Hrušovany u Brna","South Moravian Region","Brno-Country District","Czechia"
4036,"Jihlava","Vysocina Region","Jihlava District","Czechia"
4037,"Planá","South Bohemian Region","Ceské Budejovice District","Czechia"
4038,"Kurdejov","South Moravian Region","Breclav District","Czechia"
4039,"Kurdejov","South Moravian Region","Breclav District","Czechia"
4040,"Horní Slavkov","Karlovy Vary Region","Sokolov District","Czechia"
4041,"Karlovy Vary","Karlovy Vary Region","Karlovy Vary District","Czechia"
4042,"Karlovy Vary","Karlovy Vary Region","Karlovy Vary District","Czechia"
4043,"Horní Slavkov","Karlovy Vary Region","Sokolov District","Czechia"
4044,"Valec","Karlovy Vary Region","Karlovy Vary District","Czechia"
4045,"Kladno","Central Bohemian Region","Kladno District","Czechia"
4046,"Klatovy","Plzen Region","Klatovy District","Czechia"
4047,"Kolin","Central Bohemian Region","Kolín District","Czechia"
4048,"Velichovky","Hradec Králové Region","Náchod District","Czechia"
4049,"Velichovky","Hradec Králové Region","Náchod District","Czechia"
4050,"Kromeríž","Zlín Region","Kromeríž District","Czechia"
4051,"Kunice","Central Bohemian Region","Prague-East District","Czechia"
4052,"Liberec","Liberec Region","Liberec District","Czechia"
4053,"Kurívody","Liberec Region","Ceská Lípa District","Czechia"
4054,"Kurívody","Liberec Region","Ceská Lípa District","Czechia"
4055,"Kurívody","Liberec Region","Ceská Lípa District","Czechia"
4056,"Kurívody","Liberec Region","Ceská Lípa District","Czechia"
4057,"Libochovicky","Central Bohemian Region","Kladno District","Czechia"
4058,"Litomerice","Ústí nad Labem Region","Litomerice District","Czechia"
4059,"Racice","Ústí nad Labem Region","Litomerice District","Czechia"
4060,"Litovel","Olomouc Region","Olomouc District","Czechia"
4061,"Lochovice","Central Bohemian Region","Beroun District","Czechia"
4062,"Louny","Ústí nad Labem Region","Louny District","Czechia"
4063,"Melník","Central Bohemian Region","Melník District","Czechia"
4064,"Krmelín","Moravian-Silesian Region","Frýdek-Místek District","Czechia"
4065,"Krmelín","Moravian-Silesian Region","Frýdek-Místek District","Czechia"
4066,"Krmelín","Moravian-Silesian Region","Frýdek-Místek District","Czechia"
4067,"Krmelín","Moravian-Silesian Region","Frýdek-Místek District","Czechia"
4068,"Krmelín","Moravian-Silesian Region","Frýdek-Místek District","Czechia"
4069,"Krmelín","Moravian-Silesian Region","Frýdek-Místek District","Czechia"
4070,"Cíhošt","Vysocina Region","Havlíckuv Brod District","Czechia"
4071,"Nachod","Hradec Králové Region","Náchod District","Czechia"
4072,"Námešt nad Oslavou","Vysocina Region","Trebíc District","Czechia"
4073,"Úžice","Central Bohemian Region","Kutná Hora District","Czechia"
4074,"Nucice","Central Bohemian Region","Prague-West District","Czechia"
4075,"Odolena Voda","Central Bohemian Region","Prague-East District","Czechia"
4076,"Olomouc","Olomouc Region","Olomouc District","Czechia"
4077,"Cholina","Olomouc Region","Olomouc District","Czechia"
4078,"Cholina","Olomouc Region","Olomouc District","Czechia"
4079,NA,"Moravian-Silesian Region","Ostrava-City District","Czechia"
4080,"Krmelín","Moravian-Silesian Region","Frýdek-Místek District","Czechia"
4081,NA,"Pardubický kraj","Pardubice","Czechia"
4082,"Voderady","Pardubice Region","Ústí nad Orlicí District","Czechia"
4083,"Voderady","Pardubice Region","Ústí nad Orlicí District","Czechia"
4084,"Voderady","Pardubice Region","Ústí nad Orlicí District","Czechia"
4085,"Voderady","Pardubice Region","Ústí nad Orlicí District","Czechia"
4086,NA,"Plzen Region","Plzen-City District","Czechia"
4087,NA,"Plzen Region","Plzen-City District","Czechia"
4088,NA,"Plzen Region","Plzen-City District","Czechia"
4089,NA,"Plzen Region","Plzen-City District","Czechia"
4090,"Prague","Prague","Hlavní mesto Praha","Czechia"
4091,"Planá","Plzen Region","Tachov District","Czechia"
4092,NA,"Plzen Region","Plzen-City District","Czechia"
4093,NA,"Plzen Region","Plzen-City District","Czechia"
4094,"Klatovy","Plzen Region","Klatovy District","Czechia"
4095,"Klatovy","Plzen Region","Klatovy District","Czechia"
4096,NA,"Prague","Hlavní mesto Praha","Czechia"
4097,NA,"Hlavní mesto Praha","Hlavní mesto Praha","Czechia"
4098,NA,"Prague","Hlavní mesto Praha","Czechia"
4099,NA,"Prague","Hlavní mesto Praha","Czechia"
4100,NA,"Prague","Hlavní mesto Praha","Czechia"
4101,NA,"Prague","Hlavní mesto Praha","Czechia"
4102,NA,"Prague","Hlavní mesto Praha","Czechia"
4103,NA,"Prague","Hlavní mesto Praha","Czechia"
4104,"Pruhonice","Central Bohemian Region","Prague-West District","Czechia"
4105,"Voderady","Pardubice Region","Ústí nad Orlicí District","Czechia"
4106,"Rudná","Central Bohemian Region","Prague-West District","Czechia"
4107,"Rychnov nad Knežnou","Hradec Králové Region","Rychnov nad Knežnou District","Czechia"
4108,"Sezimovo Ústí","South Bohemian Region","Tábor District","Czechia"
4109,"Slaný","Central Bohemian Region","Kladno District","Czechia"
4110,"Slavetín","Ústí nad Labem Region","Louny District","Czechia"
4111,"Slavkov u Brna","South Moravian Region","Vyškov District","Czechia"
4112,"Sokolov","Karlovy Vary Region","Sokolov District","Czechia"
4113,"Planá","South Bohemian Region","Ceské Budejovice District","Czechia"
4114,"Planá","South Bohemian Region","Ceské Budejovice District","Czechia"
4115,"Planá","South Bohemian Region","Ceské Budejovice District","Czechia"
4116,"Planá","South Bohemian Region","Ceské Budejovice District","Czechia"
4117,"Planá","South Bohemian Region","Ceské Budejovice District","Czechia"
4118,"Hradište","Plzen Region","Plzen-South District","Czechia"
4119,"Planá","South Bohemian Region","Ceské Budejovice District","Czechia"
4120,"Kurdejov","South Moravian Region","Breclav District","Czechia"
4121,"Kurdejov","South Moravian Region","Breclav District","Czechia"
4122,"Kurdejov","South Moravian Region","Breclav District","Czechia"
4123,"Planá","South Bohemian Region","Ceské Budejovice District","Czechia"
4124,"Stankovice","Ústí nad Labem Region","Louny District","Czechia"
4125,"Brandýs nad Labem-Stará Boleslav","Central Bohemian Region","Prague-East District","Czechia"
4126,"Staré Mesto pod Landštejnem","South Bohemian Region","Jindrichuv Hradec District","Czechia"
4127,"Úžice","Central Bohemian Region","Kutná Hora District","Czechia"
4128,"Úžice","Central Bohemian Region","Kutná Hora District","Czechia"
4129,"Úžice","Central Bohemian Region","Kutná Hora District","Czechia"
4130,"Slatinany","Pardubice Region","Chrudim District","Czechia"
4131,"Tachov","Plzen Region","Tachov District","Czechia"
4132,"Krmelín","Moravian-Silesian Region","Frýdek-Místek District","Czechia"
4133,"Tišnov","South Moravian Region","Brno-Country District","Czechia"
4134,"Tištín","Olomouc Region","Prostejov District","Czechia"
4135,"Trutnov","Hradec Králové Region","Trutnov District","Czechia"
4136,"Staré Buky","Hradec Králové Region","Trutnov District","Czechia"
4137,"Uhlírské Janovice","Central Bohemian Region","Kutná Hora District","Czechia"
4138,"Unhošt","Central Bohemian Region","Kladno District","Czechia"
4139,"Zabrušany","Ústí nad Labem Region","Teplice District","Czechia"
4140,"Zabrušany","Ústí nad Labem Region","Teplice District","Czechia"
4141,NA,"Ústí nad Labem Region","Ústí nad Labem District","Czechia"
4142,NA,"Ústí nad Labem Region","Ústí nad Labem District","Czechia"
4143,"Zabrušany","Ústí nad Labem Region","Teplice District","Czechia"
4144,"Zabrušany","Ústí nad Labem Region","Teplice District","Czechia"
4145,"Zabrušany","Ústí nad Labem Region","Teplice District","Czechia"
4146,"Zabrušany","Ústí nad Labem Region","Teplice District","Czechia"
4147,"Velké Popovice","Central Bohemian Region","Prague-East District","Czechia"
4148,"Velké Prílepy","Central Bohemian Region","Prague-West District","Czechia"
4149,"Vémyslice","South Moravian Region","Znojmo District","Czechia"
4150,"Mešín","Vysocina Region","Jihlava District","Czechia"
4151,"Mešín","Vysocina Region","Jihlava District","Czechia"
4152,"Zábreh","Olomouc Region","Šumperk District","Czechia"
4153,"Zábrezí-Recice","Hradec Králové Region","Trutnov District","Czechia"
4154,"Zlín","Zlín Region","Zlín District","Czechia"
4155,"Lípa","Zlín Region","Zlín District","Czechia"
4156,"Lípa","Zlín Region","Zlín District","Czechia"
4157,"Zlonice","Central Bohemian Region","Kladno District","Czechia"
4158,"Frederiksberg",NA,NA,"Denmark"
4159,"Kjellerup",NA,NA,"Denmark"
4160,"Odder",NA,NA,"Denmark"
4161,"Aars",NA,NA,"Denmark"
4162,"Ringsted",NA,NA,"Denmark"
4163,"Rødding",NA,NA,"Denmark"
4164,"Vihtra","Pärnu County",NA,"Estonia"
4165,"Parila, Harju County","Harju County",NA,"Estonia"
4166,"Parila, Harju County","Harju County",NA,"Estonia"
4167,"Lilbi","Hiiu County",NA,"Estonia"
4168,"Pagari","Ida-Viru County",NA,"Estonia"
4169,"Röa","Järva County",NA,"Estonia"
4170,"Jõgeva","Jõgeva County",NA,"Estonia"
4171,"Vidruka","Lääne County",NA,"Estonia"
4172,"Karitsa","Lääne-Viru County",NA,"Estonia"
4173,"Ollepa","Järva County",NA,"Estonia"
4174,"Vihtra","Pärnu County",NA,"Estonia"
4175,"Aela","Harju County",NA,"Estonia"
4176,"Pärnu","Pärnu County",NA,"Estonia"
4177,"Põlva","Põlva County",NA,"Estonia"
4178,"Rapla","Rapla County",NA,"Estonia"
4179,"Sääre","Saare County",NA,"Estonia"
4180,"Õru","Valga County",NA,"Estonia"
4181,"Tartu","Tartu County",NA,"Estonia"
4182,"Valga","Valga County",NA,"Estonia"
4183,"Viljandi","Viljandi County",NA,"Estonia"
4184,"Võru","Võru maakond","Võru linn","Estonia"
4185,"Luulupe","Saare County",NA,"Estonia"
4186,NA,"Streymoy",NA,"Faroe Islands"
4187,"Helsinki",NA,NA,"Finland"
4188,"Hämeenlinna",NA,NA,"Finland"
4189,"Hämeenlinna",NA,NA,"Finland"
4190,NA,NA,NA,"Finland"
4191,NA,NA,NA,"Finland"
4192,NA,NA,NA,"Finland"
4193,NA,NA,NA,"Finland"
4194,NA,NA,NA,"Finland"
4195,"Tampere",NA,NA,"Finland"
4196,NA,NA,NA,"Finland"
4197,NA,NA,NA,"Finland"
4198,"Vaasa",NA,NA,"Finland"
4199,"La Tour","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","France"
4200,"La Tour","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","France"
4201,"Dambach-la-Ville","Grand Est","Bas-Rhin","France"
4202,"Soulignac","Nouvelle-Aquitaine","Gironde","France"
4203,"Sury","Grand Est","Ardennes","France"
4204,"Le Bosc","Occitanie","Ariege","France"
4205,"Greffeil","Occitanie","Aude","France"
4206,"Montmorin","Auvergne-Rhône-Alpes","Puy-de-Dome","France"
